"LPAD(1,2,0)||'|'||'VENDAS'||'|'||LPAD(50,3,0)||'|'||:SEQUENCIA||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDDHHMI')||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDD')||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDD')||'|'||'16731862000124'||'|'||'07216054000138'","1"
"01|VENDAS|050||202307111120|20230711|20230711|16731862000124|07216054000138",1
"02|01|00000000000002472230|01|01|20230403|00000000000000000000|00000010868144000207|RJ|21010410|RJ|00000000|CIF|01",2472230
"02|01|00000000000002472231|01|01|20230403|00000000000000000000|00000010189141000158|RJ|21010410|RJ|00000000|CIF|01",2472231
"02|01|00000000000002472232|01|01|20230403|00000000000000000000|00000012368794000120|RJ|21010410|RJ|00000000|CIF|01",2472232
"02|01|00000000000002472233|01|01|20230403|00000000000000000000|00000027077107000194|RJ|21010410|RJ|00000000|CIF|01",2472233
"02|01|00000000000002472234|01|01|20230403|00000000000000000000|00000013150765000150|RJ|21010410|MG|00000000|CIF|01",2472234
"02|01|00000000000002472235|01|01|20230403|00000000000000000000|00000027128859000137|RJ|21010410|RJ|00000000|CIF|01",2472235
"02|01|00000000000002472237|01|01|20230403|00000000000000000000|00000033648981000218|RJ|21010410|RJ|00000000|CIF|01",2472237
"02|01|00000000000002472238|01|01|20230403|00000000000000000000|00000000973749001430|RJ|21010410|RJ|00000000|CIF|01",2472238
"02|01|00000000000002472239|01|01|20230403|00000000000000000000|00000016886503000146|RJ|21010410|RJ|00000000|CIF|01",2472239
"02|01|00000000000002472241|01|01|20230403|00000000000000000000|00000010839911000322|RJ|21010410|RJ|00000000|CIF|01",2472241
"02|01|00000000000002472245|01|01|20230403|00000000000000000000|00000001407130000106|RJ|21010410|RJ|00000000|CIF|01",2472245
"02|01|00000000000002472251|01|01|20230403|00000000000000000000|00000042563916000108|RJ|21010410|RJ|00000000|CIF|01",2472251
"02|01|00000000000002472261|01|01|20230404|00000000000000000000|00000027310251000129|RJ|21010410|RJ|00000000|CIF|01",2472261
"02|01|00000000000002472262|01|01|20230404|00000000000000000000|00000004174167000120|RJ|21010410|RJ|00000000|CIF|01",2472262
"02|01|00000000000002472264|01|01|20230404|00000000000000000000|00000007177723000100|RJ|21010410|RJ|00000000|CIF|01",2472264
"02|01|00000000000002472266|01|01|20230404|00000000000000000000|00000033497110000160|RJ|21010410|RJ|00000000|CIF|01",2472266
"02|01|00000000000002472271|01|01|20230404|00000000000000000000|00000047137978000163|RJ|21010410|RJ|00000000|CIF|01",2472271
"02|01|00000000000002472283|01|01|20230404|00000000000000000000|00000012413238000128|RJ|21010410|RJ|00000000|CIF|01",2472283
"02|01|00000000000002472284|01|01|20230404|00000000000000000000|00000006324090000233|RJ|21010410|RJ|00000000|CIF|01",2472284
"02|01|00000000000002472286|01|01|20230404|00000000000000000000|00000018207018000124|RJ|21010410|RJ|00000000|CIF|01",2472286
"02|01|00000000000002472292|01|01|20230404|00000000000000000000|00000012466251000145|RJ|21010410|RJ|00000000|CIF|01",2472292
"02|01|00000000000002472293|01|01|20230404|00000000000000000000|00000030069793000166|RJ|21010410|RJ|00000000|CIF|01",2472293
"02|01|00000000000002472296|01|01|20230404|00000000000000000000|00000019874111000155|RJ|21010410|RJ|00000000|CIF|01",2472296
"02|01|00000000000002472297|01|01|20230404|00000000000000000000|00000001425368000164|RJ|21010410|RJ|00000000|CIF|01",2472297
"02|01|00000000000002472298|01|01|20230404|00000000000000000000|00000003650638000166|RJ|21010410|MG|00000000|CIF|01",2472298
"02|01|00000000000002472299|01|01|20230404|00000000000000000000|00000030908131000132|RJ|21010410|RJ|00000000|CIF|01",2472299
"02|01|00000000000002472300|01|01|20230404|00000000000000000000|00000011304945000113|RJ|21010410|RJ|00000000|CIF|01",2472300
"02|01|00000000000002472301|01|01|20230404|00000000000000000000|00000012858979000112|RJ|21010410|RJ|00000000|CIF|01",2472301
"02|01|00000000000002472305|01|01|20230404|00000000000000000000|00000047436538000107|RJ|21010410|RJ|00000000|CIF|01",2472305
"02|01|00000000000002472306|01|01|20230404|00000000000000000000|00000006201436000125|RJ|21010410|RJ|00000000|CIF|01",2472306
"02|01|00000000000002472307|01|01|20230404|00000000000000000000|00000006252348000152|RJ|21010410|RJ|00000000|CIF|01",2472307
"02|01|00000000000002472309|01|01|20230404|00000000000000000000|00000002041548000105|RJ|21010410|RJ|00000000|CIF|01",2472309
"02|01|00000000000002472312|01|01|20230404|00000000000000000000|00000004405164000150|RJ|21010410|RJ|00000000|CIF|01",2472312
"02|01|00000000000002472313|01|01|20230404|00000000000000000000|00000017636120000182|RJ|21010410|RJ|00000000|CIF|01",2472313
"02|01|00000000000002472314|01|01|20230404|00000000000000000000|00000018143139000150|RJ|21010410|RJ|00000000|CIF|01",2472314
"02|01|00000000000002472325|01|01|20230404|00000000000000000000|00000007804627000144|RJ|21010410|RJ|00000000|CIF|01",2472325
"02|01|00000000000002472326|01|01|20230404|00000000000000000000|00000031590862000145|RJ|21010410|RJ|00000000|CIF|01",2472326
"02|01|00000000000002472328|01|01|20230404|00000000000000000000|00000035871128000105|RJ|21010410|RJ|00000000|CIF|01",2472328
"02|01|00000000000002472329|01|01|20230404|00000000000000000000|00000004773705000100|RJ|21010410|RJ|00000000|CIF|01",2472329
"02|01|00000000000002472331|01|01|20230404|00000000000000000000|00000040236747000168|RJ|21010410|RJ|00000000|CIF|01",2472331
"02|01|00000000000002472332|01|01|20230404|00000000000000000000|00000014688211000173|RJ|21010410|RJ|00000000|CIF|01",2472332
"02|01|00000000000002472335|01|01|20230404|00000000000000000000|00000007655264000122|RJ|21010410|RJ|00000000|CIF|01",2472335
"02|01|00000000000002472337|01|01|20230404|00000000000000000000|00000030886725000190|RJ|21010410|RJ|00000000|CIF|01",2472337
"02|01|00000000000002472338|01|01|20230404|00000000000000000000|00000028026766000164|RJ|21010410|RJ|00000000|CIF|01",2472338
"02|01|00000000000002472340|01|01|20230404|00000000000000000000|00000028774621000141|RJ|21010410|RJ|00000000|CIF|01",2472340
"02|01|00000000000002472341|01|01|20230404|00000000000000000000|00000029911559000155|RJ|21010410|RJ|00000000|CIF|01",2472341
"02|01|00000000000002472342|01|01|20230404|00000000000000000000|00000027206655000177|RJ|21010410|RJ|00000000|CIF|01",2472342
"02|01|00000000000002472343|01|01|20230404|00000000000000000000|00000033997297000160|RJ|21010410|RJ|00000000|CIF|01",2472343
"02|01|00000000000002472344|01|01|20230404|00000000000000000000|00000033648981003314|RJ|21010410|RJ|00000000|CIF|01",2472344
"02|01|00000000000002472347|01|01|20230404|00000000000000000000|00000029020880000140|RJ|21010410|RJ|00000000|CIF|01",2472347
"02|01|00000000000002472348|01|01|20230404|00000000000000000000|00000001721862000176|RJ|21010410|RJ|00000000|CIF|01",2472348
"02|01|00000000000002472349|01|01|20230404|00000000000000000000|00000006954219000106|RJ|21010410|RJ|00000000|CIF|01",2472349
"02|01|00000000000002472350|01|01|20230404|00000000000000000000|00000004065444000166|RJ|21010410|RJ|00000000|CIF|01",2472350
"02|01|00000000000002472351|01|01|20230404|00000000000000000000|00000036556884000102|RJ|21010410|RJ|00000000|CIF|01",2472351
"02|01|00000000000002472352|01|01|20230404|00000000000000000000|00000002671286000162|RJ|21010410|RJ|00000000|CIF|01",2472352
"02|01|00000000000002472353|01|01|20230404|00000000000000000000|00000007010957000168|RJ|21010410|RJ|00000000|CIF|01",2472353
"02|01|00000000000002472355|01|01|20230404|00000000000000000000|00000032173395000110|RJ|21010410|RJ|00000000|CIF|01",2472355
"02|01|00000000000002472356|01|01|20230404|00000000000000000000|00000033337007000152|RJ|21010410|RJ|00000000|CIF|01",2472356
"02|01|00000000000002472358|01|01|20230404|00000000000000000000|00000010826164000126|RJ|21010410|RJ|00000000|CIF|01",2472358
"02|01|00000000000002472359|01|01|20230404|00000000000000000000|00000005351320000100|RJ|21010410|RJ|00000000|CIF|01",2472359
"02|01|00000000000002472360|01|01|20230404|00000000000000000000|00000012210272000103|RJ|21010410|RJ|00000000|CIF|01",2472360
"02|01|00000000000002472361|01|01|20230404|00000000000000000000|00000040389082000637|RJ|21010410|RJ|00000000|CIF|01",2472361
"02|01|00000000000002472363|01|01|20230404|00000000000000000000|00000033593575036143|RJ|21010410|RJ|00000000|CIF|01",2472363
"02|01|00000000000002472365|01|01|20230404|00000000000000000000|00000001498273000170|RJ|21010410|RJ|00000000|CIF|01",2472365
"02|01|00000000000002472366|01|01|20230404|00000000000000000000|00000000973749001430|RJ|21010410|RJ|00000000|CIF|01",2472366
"02|01|00000000000002472367|01|01|20230404|00000000000000000000|00000011812818000125|RJ|21010410|RJ|00000000|CIF|01",2472367
"02|01|00000000000002472368|01|01|20230404|00000000000000000000|00000009471199000100|RJ|21010410|RJ|00000000|CIF|01",2472368
"02|01|00000000000002472369|01|01|20230404|00000000000000000000|00000005027327000413|RJ|21010410|RJ|00000000|CIF|01",2472369
"02|01|00000000000002472370|01|01|20230404|00000000000000000000|00000013876326000129|RJ|21010410|RJ|00000000|CIF|01",2472370
"02|01|00000000000002472371|01|01|20230404|00000000000000000000|00000019017864000144|RJ|21010410|RJ|00000000|CIF|01",2472371
